-0.30118,0.36753,2.1708e-18,-0.21755,0.27387,1.5783e-18,1.202e-09
-0.21812,0.31766,1.9379e-18,-0.30101,0.26592,7.284e-19,8.625e-10
-0.1791,0.33217,1.8552e-18,-0.15259,0.41577,1.2189e-18,1.95e-09
-0.11185,0.28795,1.9148e-18,-0.097031,0.28615,1.4351e-18,9.845e-10
-0.096172,0.36972,1.7485e-18,-0.27561,0.3374,1.3577e-18,1.415e-09
-0.26862,0.34471,1.9313e-18,-0.13056,0.28491,1.2308e-18,1.079e-09
-0.27257,0.41755,2.1257e-18,-0.18932,0.34058,8.2405e-19,1.698e-09
-0.19426,0.42596,1.8415e-18,-0.058059,0.3541,8.5718e-19,2.15e-09
-0.20222,0.34801,1.7669e-18,-0.15079,0.43379,9.7463e-19,2.11e-09
-0.10677,0.41803,2.0906e-18,-0.19711,0.24882,9.8931e-19,1.483e-09
-0.38087,0.39382,1.7502e-18,-0.10308,0.26007,1.1479e-18,1.188e-09
-0.10569,0.30955,2.1399e-18,-0.029943,0.2196,1.1781e-18,8.888e-10
-0.28664,0.36952,2.136e-18,-0.31203,0.39637,9.3429e-19,1.774e-09
-0.065661,0.28562,2.0465e-18,-0.14803,0.3801,9.0157e-19,1.373e-09
-0.35981,0.31593,1.8091e-18,-0.25726,0.25444,9.9888e-19,8.437e-10
-0.32936,0.42306,1.8345e-18,-0.21473,0.3533,7.899e-19,1.705e-09
-0.1713,0.33564,2.1563e-18,-0.1319,0.41547,8.3641e-19,1.884e-09
-0.26017,0.38945,1.9661e-18,-0.15723,0.23887,1.3246e-18,1.149e-09
-0.13677,0.38805,2.0255e-18,-0.14475,0.31812,1.0629e-18,1.417e-09
-0.06793,0.27667,1.9634e-18,-0.087634,0.29868,1.541e-18,1.056e-09
-0.015142,0.31396,1.9177e-18,-0.14863,0.27121,8.2633e-19,9.579e-10
-0.063165,0.30727,2.0412e-18,-0.13408,0.36347,1.0974e-18,1.387e-09
0.01136,0.3225,2.0627e-18,-0.11027,0.22972,1.1636e-18,1.101e-09
-0.32334,0.35906,1.9425e-18,-0.29937,0.41062,8.4747e-19,1.775e-09
-0.17423,0.3429,1.7911e-18,-0.26658,0.4244,1.5432e-18,2.195e-09
-0.32815,0.27651,1.8346e-18,-0.28701,0.37191,9.7052e-19,1.254e-09
